question,answer,theme,keywords,Name of Document,Page no.
What is the composition of a Home Care Team?,"The Home Care Team consists of professionals trained in Palliative Care, including a Medical officer, a community Health Officer, a Nurse, Multipurpose Health Worker (Female/Male), and a community volunteer. The composition of the team can be decided based on the type of patients during the visit. The visit would be arranged and coordinated by ASHA.",Home Care Team,"['composition', 'home care team', 'professionals', 'palliative care', 'medical officer', 'community health officer', 'nurse', 'multipurpose health worker', 'community volunteer', 'ASHA']",Palliative Care Training Manual for ASHA at AB-HWC,"[27, 28]"
How does a Home Care function?,"Each home care team caters to an area served by the Sub Health Centre - Health and Wellness Centre or Primary Health Centre - Health and Wellness Centre. ASHA identifies bed-ridden patients and others needing palliative care and offers home care visits. This is followed by visits by MPW/CHO for further assessment using the Palliative care screening tool. The first visit to the patient’s home takes 2 hours, during which the Palliative Care issues of the patient and the family are identified (Medical, Nursing, and counseling). Urgent issues are addressed during the first visit. The patients are categorized into High, Middle, and Low priorities depending on their Palliative Care needs. The priorities are changed as and when required.",Function of Home Care,"['home care team', 'sub health centre', 'health and wellness centre', 'primary health centre', 'ASHA', 'bed-ridden patients', 'palliative care', 'screening tool', 'medical', 'nursing', 'counseling', 'priorities']",Palliative Care Training Manual for ASHA at AB-HWC,"[27, 28]"
What are the scope of services in home care?,"The services provided as part of home care vary from setting to setting, but generally include nursing care, symptom management, bereavement support, resource mobilization, psychological support, social support, spiritual support, end-of-life care, and home care documentation.",Scope of Services in Home Care,"['services', 'home care', 'nursing care', 'symptom management', 'bereavement support', 'resource mobilization', 'psychological support', 'social support', 'spiritual support', 'end-of-life care', 'home care documentation']",Palliative Care Training Manual for ASHA at AB-HWC,"[27, 28]"
How is the work documented in home care?,A case sheet for every registered patient is maintained by the team. The Staff Nurse maintains a monthly Master Sheet which is daily maintained and verified by the CHO/MO. The ASHA worker also maintains a log of the home visits arranged by her.,Documentation in Home Care,"['work', 'documented', 'home care', 'case sheet', 'registered patient', 'team', 'Staff Nurse', 'monthly Master Sheet', 'daily maintained', 'verified', 'CHO/MO', 'ASHA worker', 'log', 'home visits']",Palliative Care Training Manual for ASHA at AB-HWC,"[27, 28]"
What are universal precautions?,Universal precautions are a set of guidelines to follow when coming into contact with body fluids and wastes that carry germs. It treats everyone as a potentially infected person.,Universal Precautions,"['universal precautions', 'guidelines', 'body fluids', 'wastes', 'germs', 'treats', 'potentially infected person']",Palliative Care Training Manual for ASHA at AB-HWC,"[27, 28]"
What infection control practices should healthcare workers practice?,"Healthcare workers who might come into contact with blood and other body fluids should practice hand washing, use of personal protective equipment (e.g. latex gloves), cleaning and disinfecting of contaminated areas/instruments, and proper disposal of waste materials.",Infection Control Practices for Healthcare Workers,"['infection control practices', 'healthcare workers', 'hand washing', 'personal protective equipment', 'latex gloves', 'cleaning', 'disinfecting', 'contaminated areas', 'instruments', 'proper disposal', 'waste materials']",Palliative Care Training Manual for ASHA at AB-HWC,"[27, 28]"
Why is hand washing important as an infection control measure?,"Hand washing is the most important infection control measure to prevent illness. It can drastically reduce the amount of illness if hands are washed at proper times and with the proper techniques. Hands should be washed with soap for at least 30 seconds, rinsed thoroughly, and dried thoroughly. Hand washing should occur immediately before and after any patient care activities.",Importance of Hand Washing as an Infection Control Measure,"['hand washing', 'infection control measure', 'prevent illness', 'reduce', 'proper times', 'proper techniques', 'soap', '30 seconds', 'rinsed thoroughly', 'dried thoroughly', 'immediately before', 'after', 'patient care activities']",Palliative Care Training Manual for ASHA at AB-HWC,"[27, 28]"
What is the purpose of maintaining a case sheet for every registered patient?,The purpose of maintaining a case sheet for every registered patient is to document their work.,Maintaining Case Sheet,"['purpose', 'maintaining', 'case sheet', 'registered patient', 'document', 'work']",Palliative Care Training Manual for ASHA at AB-HWC,"[28, 29]"
What does the ASHA worker maintain?,The ASHA worker maintains a log of the home visits arranged by her.,Maintaining Home Visits Log,"['ASHA worker', 'maintains', 'log', 'home visits']",Palliative Care Training Manual for ASHA at AB-HWC,"[28, 29]"
What is the name of the infection control method that treats everyone as a potentially infected person?,The name of the infection control method is 'universal precautions'.,Infection Control Method,"['name', 'infection control method', 'treats', 'everyone', 'potentially infected person', 'universal precautions']",Palliative Care Training Manual for ASHA at AB-HWC,"[28, 29]"
What are the guidelines provided by universal precautions?,"The guidelines provided by universal precautions include hand washing, use of Personal Protective Equipment (PPE), cleaning and disinfecting of contaminated areas/instruments, and proper disposal of waste materials.",Guidelines for Universal Precautions,"['guidelines', 'universal precautions', 'hand washing', 'Personal Protective Equipment (PPE)', 'cleaning', 'disinfecting', 'contaminated areas', 'instruments', 'proper disposal', 'waste materials']",Palliative Care Training Manual for ASHA at AB-HWC,"[28, 29]"
Why is hand washing important?,Hand washing is the most important infection control measure to prevent illness.,Importance of Hand Washing,"['hand washing', 'important', 'infection control measure', 'prevent illness', 'when', 'occur', 'immediately', 'before', 'after', 'patient care activities']",Palliative Care Training Manual for ASHA at AB-HWC,"[28, 29]"
What is Personal Protective Equipment (PPE)?,Personal Protective Equipment (PPE) is specialized clothing or equipment worn by an employee for protection against infectious materials.,Personal Protective Equipment (PPE),"['Personal Protective Equipment', 'PPE', 'specialized clothing', 'equipment', 'employee', 'protection', 'infectious materials', 'gowns', 'gloves', 'masks', 'respirators', 'cap', 'face shield', 'goggles']",Palliative Care Training Manual for ASHA at AB-HWC,"[28, 29]"
How should contaminated areas/instruments be cleaned and disinfected?,"Contaminated areas/instruments should be cleaned and disinfected by wearing gloves and using disposable towels or other means of cleaning that ensure against direct contact with blood, body fluids, or feces. They should be decontaminated with an approved germicide or a 1:100 solution of household bleach 1% sodium hypochlorite. All used equipment must be thoroughly washed and disinfected.",Cleaning and Disinfection,"['contaminated areas', 'instruments', 'cleaned', 'disinfected', 'wearing gloves', 'disposable towels', 'direct contact', 'blood', 'body fluids', 'feces', 'decontaminated', 'approved germicide', '1:100 solution', 'household bleach', 'sodium hypochlorite', 'used equipment', 'washed', 'disinfected']",Palliative Care Training Manual for ASHA at AB-HWC,"[28, 29]"
What should be done with the waste generated during home care?,The waste generated during home care should be handled as per the Bio Medical Waste Management Rules 2016.,Biomedical Waste Management,"['waste generated', 'home care', 'Bio Medical Waste Management Rules 2016', 'categories', 'color codes', 'biomedical waste', 'yellow', 'human anatomical waste', 'animal anatomical waste', 'soiled waste', 'expired', 'discarded medicines', 'chemical waste', 'micro', 'bio-t', 'clinical lab waste', 'chemical liquid waste', 'red', 'contaminated waste', 'recyclable', 'white', 'translucent', 'puncture', 'leak', 'tamper-proof containers', 'blue', 'glassware']",Palliative Care Training Manual for ASHA at AB-HWC,"[28, 29]"
